epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.73542,2.07562,3.20368,2.25097,0.00172,0.22753,0.00149,0.00035,1.79978,inf,2.02352,0.00043342,0.00043342,0.00043342
2,18.1971,1.97715,2.64839,2.19331,2e-05,0.01613,1e-05,0,nan,nan,nan,0.000874763,0.000874763,0.000874763
3,26.7681,2.04335,2.61673,2.23142,0,0,0,0,nan,nan,nan,0.00130719,0.00130719,0.00130719
4,35.1234,2.08143,2.68382,2.25006,0.00272,0.21803,0.00216,0.00063,1.78796,inf,18.6823,0.00161749,0.00161749,0.00161749
5,43.7803,1.99839,2.59984,2.22303,0.02326,0.0697,0.004,0.00092,1.83805,407.007,2.75389,0.00160099,0.00160099,0.00160099
6,52.3638,1.9526,2.52006,2.17129,0.00118,0.23474,0.00086,0.00032,1.70499,inf,2.40973,0.00158448,0.00158448,0.00158448
7,60.7145,1.96707,2.46713,2.16456,0.05683,0.23992,0.03727,0.01151,1.64649,59.2418,1.96889,0.00156798,0.00156798,0.00156798
8,69.2449,1.88494,2.42407,2.09169,0.15118,0.20652,0.09851,0.0404,1.30571,43.0101,1.53735,0.00155148,0.00155148,0.00155148
9,77.8998,1.91496,2.41979,2.13035,0.13846,0.20017,0.08186,0.01745,1.57355,6.29003,1.78348,0.00153497,0.00153497,0.00153497
10,86.2799,1.85443,2.34518,2.0678,0.12365,0.22005,0.06086,0.01482,1.30024,58.9276,1.59783,0.00151847,0.00151847,0.00151847
11,94.6794,1.8776,2.34847,2.03716,0.38694,0.12327,0.05958,0.01882,1.1664,109.991,1.44779,0.00150197,0.00150197,0.00150197
12,103.144,1.88212,2.35576,2.0659,0.15699,0.24034,0.14261,0.04024,1.26543,48.066,1.47346,0.00148546,0.00148546,0.00148546
13,111.801,1.84337,2.30702,2.04874,0.2473,0.2163,0.13546,0.03745,1.2212,39.2113,1.43403,0.00146896,0.00146896,0.00146896
14,120.189,1.83285,2.31561,2.0587,0.68498,0.22321,0.19706,0.08098,1.01299,32.8659,1.30398,0.00145246,0.00145246,0.00145246
15,128.693,1.80114,2.27177,2.03118,0.33787,0.22725,0.16991,0.06462,1.19943,5.78457,1.40046,0.00143595,0.00143595,0.00143595
16,137.221,1.82515,2.26012,2.02616,0.74108,0.19643,0.2074,0.06409,1.21217,11.1036,1.42424,0.00141945,0.00141945,0.00141945
17,145.641,1.83107,2.20518,2.02901,0.21576,0.32892,0.19665,0.08713,1.13547,8.76567,1.32055,0.00140295,0.00140295,0.00140295
18,154.16,1.78963,2.14245,1.98228,0.08039,0.22523,0.04555,0.0172,1.09432,43.3617,1.33132,0.00138644,0.00138644,0.00138644
19,162.524,1.7742,2.18418,1.99515,0.32673,0.31999,0.26528,0.09044,1.16731,8.20086,1.38009,0.00136994,0.00136994,0.00136994
20,171.046,1.77585,2.18277,1.98128,0.39251,0.35511,0.31164,0.12535,1.09151,10.6403,1.3019,0.00135344,0.00135344,0.00135344
21,179.583,1.7708,2.18212,1.97354,0.26611,0.39516,0.26797,0.11057,1.08117,6.28744,1.30713,0.00133693,0.00133693,0.00133693
22,187.944,1.79464,2.18886,2.01938,0.38971,0.30455,0.24682,0.10366,1.03923,6.89492,1.27358,0.00132043,0.00132043,0.00132043
23,196.296,1.77438,2.14532,1.9778,0.40616,0.28946,0.29253,0.10857,1.1249,6.37194,1.31889,0.00130393,0.00130393,0.00130393
24,204.807,1.72914,2.13362,1.97181,0.34966,0.38076,0.25409,0.08232,1.1289,20.0541,1.33716,0.00128742,0.00128742,0.00128742
25,213.258,1.72665,2.12949,1.96625,0.45426,0.32892,0.31498,0.11501,1.07113,10.6519,1.26398,0.00127092,0.00127092,0.00127092
26,221.63,1.76592,2.11134,1.98736,0.2643,0.21112,0.16829,0.06962,1.06156,12.0658,1.27272,0.00125442,0.00125442,0.00125442
27,229.993,1.75245,2.15015,1.95638,0.23029,0.3629,0.21136,0.07618,1.08828,36.6972,1.35243,0.00123791,0.00123791,0.00123791
